tipLabel,MajorLineage,Genus,Species,Taxon,Pathway,MA,LT,IAS,CAMpheno,CAMphenoCat
Pereskia_quisqueyana_55,Cactaceae,Pereskia,quisqueyana,Pereskia quisqueyana,C3+CAM,,,,mCAM,1
Pereskia_grandifolia_tr,Cactaceae,Pereskia,grandifolia,Pereskia grandifolia,C3+CAM,,,,mCAM,1
Pereskia_sacharosa_67,Cactaceae,Pereskia,sacharosa,Pereskia sacharosa,C3+CAM,1289.341625,743.5372,0.08210376422307496,mCAM,1
Pereskia_aculeata,Cactaceae,Pereskia,aculeata,Pereskia aculeata,C3+CAM,2739.9999999999995,511.1633333333333,0.12881118361929242,mCAM,1
Pereskia_horrida_64,Cactaceae,Pereskia,horrida,Pereskia horrida,C3+CAM,,,,mCAM,1
Portulaca_cf_perennis_210,Portulacaceae,Portulaca,cf perennis,Portulaca cf perennis,C4+CAM,,,,mCAM,1
Portulaca_pilosa,Portulacaceae,Portulaca,pilosa,Portulaca pilosa,C4+CAM,1313.3724333333334,1243.5700666666667,0.05605234441459502,mCAM,1
Portulaca_suffrutescens,Portulacaceae,Portulaca,suffrutescens,Portulaca suffrutescens,C4+CAM,614.2241500000001,624.0673333333333,0.093387936072764,mCAM,1
Portulaca_amilis,Portulacaceae,Portulaca,amilis,Portulaca amilis,C4+CAM,,,,mCAM,1
Portulaca_grandiflora,Portulacaceae,Portulaca,grandiflora,Portulaca grandiflora,C4+CAM,,,,mCAM,1
Portulaca_cf_filifolia_187,Portulacaceae,Portulaca,cf filifolia,Portulaca cf filifolia,C4+CAM,,,,mCAM,1
Portulaca_umbraticola,Portulacaceae,Portulaca,umbraticola,Portulaca umbraticola,C4+CAM,1007.4121249999998,706.3016666666667,0.08393276644409563,mCAM,1
Portulaca_cryptopetala,Portulacaceae,Portulaca,cryptopetala,Portulaca cryptopetala,C4+CAM,2054.263933333333,1334.9733333333334,0.12292982806941423,mCAM,1
Portulaca_oleracea,Portulacaceae,Portulaca,oleracea,Portulaca oleracea,C4+CAM,783.3190666666666,607.2055333333334,0.1545085178698827,mCAM,1
Portulaca_molokiniensis,Portulacaceae,Portulaca,molokiniensis,Portulaca molokiniensis,C4+CAM,1085.7186,785.6263333333333,0.0656826570731209,mCAM,1
Portulaca_filsonii_186,Portulacaceae,Portulaca,filsonii,Portulaca filsonii,C4+CAM,,,,mCAM,1
Portulaca_cf_digyna_184,Portulacaceae,Portulaca,cf digyna,Portulaca cf digyna,C4+CAM,,,,mCAM,1
Anacampseros_filamentosa,Anacampserotaceae,Anacampseros,filamentosa,Anacampseros filamentosa,C3+CAM,,,,mCAM,1
Anacampseros_arachnoides_101,Anacampserotaceae,Anacampseros,arachnoides,Anacampseros arachnoides,C3+CAM,,,,mCAM,1
Anacampseros_baeseckei_91,Anacampserotaceae,Anacampseros,baeseckei,Anacampseros baeseckei,C3+CAM,,,,mCAM,1
Anacampseros_lanceolata_46,Anacampserotaceae,Anacampseros,lanceolata,Anacampseros lanceolata,C3+CAM,6023.480296153845,2271.1045714285715,0.11472320813894601,mCAM,1
Anacampseros_papyracea_papyracea_100,Anacampserotaceae,Anacampseros,papyracea,Anacampseros papyracea,C3+CAM,,,,mCAM,1
Anacampseros_coahuilensis_68,Anacampserotaceae,Anacampseros,coahuilensis,Anacampseros coahuilensis,C3+CAM,,,,mCAM,1
Anacampseros_kurtzii,Anacampserotaceae,Anacampseros,kurtzii,Anacampseros kurtzii,C3+CAM,,,,mCAM,1
Grahamia_bracteata_62,Anacampserotaceae,Grahamia,bracteata,Grahamia bracteata,C3+CAM,10731.5,1960.0,0.2414795505770933,mCAM,1
Talinopsis_frutescens,Anacampserotaceae,Talinopsis,frutescens,Talinopsis frutescens,C3+CAM,10656.833333333334,1603.9617500000002,,mCAM,1
Talinum_portulacifolium,Talinaceae,Talinum,portulacifolium,Talinum portulacifolium,C3+CAM,6073.7,562.6586666666666,,mCAM,1
Talinella_pachypoda_73,Talinaceae,Talinum,pachypodum,Talinum pachypodum,C3+CAM,,,,mCAM,1
Talinum_fruticosum,Talinaceae,Talinum,fruticosum,Talinum fruticosum,C3+CAM,9968.875,810.4618,0.10686454342506636,mCAM,1
Talinum_triangulare_50,Talinaceae,Talinum,triangulare,Talinum triangulare,C3+CAM,,,,mCAM,1
Talinum_paniculatum,Talinaceae,Talinum,paniculatum,Talinum paniculatum,C3+CAM,,973.0,,mCAM,1
Talinum_arnotii_4,Talinaceae,Talinum,arnotii,Talinum arnotii,C3+CAM,,,,mCAM,1
Alluaudia_dumosa,Didiereaceae,Alluaudia,dumosa,Alluaudia dumosa,CAM,3674.76851851852,,0.0349573721005989,pCAM,2
Alluaudia_humbertii,Didiereaceae,Alluaudia,humbertii,Alluaudia humbertii,CAM,,,,pCAM,2
Alluaudia_procera,Didiereaceae,Alluaudia,procera,Alluaudia procera,CAM,2801.430740476191,613.1167666666666,0.03363379986719692,pCAM,2
Alluaudiopsis_marnieriana,Didiereaceae,Alluaudiopsis,marnieriana,Alluaudiopsis marnieriana,CAM,,,,pCAM,2
Didierea_madagascariensis,Didiereaceae,Didierea,madagascariensis,Didierea madagascariensis,C3+CAM,1027.0169,,,mCAM,1
Didierea_trollii,Didiereaceae,Didierea,trollii,Didierea trollii,C3+CAM,,,,mCAM,1
Decarya_madagascariensis,Didiereaceae,Decarya,madagascariensis,Decarya madagascariensis,CAM,,,,pCAM,2
Portulacaria_afra,Didiereaceae,Portulacaria,afra,Portulacaria afra,C3+CAM,1470.0,830.0,0.11754595907482748,mCAM,1
Portulacaria_pygmaea,Didiereaceae,Portulacaria,pygmaea,Portulacaria pygmaea,C3+CAM,,,,mCAM,1
Ceraria_fruticulosa_72,Didiereaceae,Ceraria,fruticulosa,Ceraria fruticulosa,C3+CAM,3426.166666666666,848.292,0.14982787217179916,mCAM,1
Anredera_cordifolia,Basellaceae,Anredera,cordifolia,Anredera cordifolia,C3+CAM,,,,mCAM,1
Anredera_baselloides_38,Basellaceae,Anredera,baselloides,Anredera baselloides,C3+CAM,6101.057875,595.0924166666666,0.142392344,mCAM,1
Anredera_diffusa_211,Basellaceae,Anredera,diffusa,Anredera diffusa,C3+CAM,,,,mCAM,1
Ullucus_tuberosus_74,Basellaceae,Ullucus,tuberosus,Ullucus tuberosus,C3+CAM,,,,mCAM,1
Basella_alba,Basellaceae,Basella,alba,Basella alba,C3+CAM,,,,mCAM,1
Halophytum_ameghinoi_76,Halophytaceae,Halophytum,ameghinoi,Halophytum ameghinoi,C3+CAM,14205.3,3736.3626666666664,0.207606135,mCAM,1
Mollugo_cerviana,Molluginaceae,Paramollugo,cerviana,Paramollugo cerviana,C3,,,,non-CAM,0
Hypertelis_walteri_403,Molluginaceae,Hypertelis,walteri,Hypertelis walteri,C3,837.1487000000001,,,non-CAM,0
Hypertelis_spergulacea_404,Molluginaceae,Hypertelis,spergulacea,Hypertelis spergulacea,C3,,,,non-CAM,0
Hypertelis_cerviana_367,Molluginaceae,Hypertelis,cerviana,Hypertelis cerviana,C3,,,,non-CAM,0
Suessenguthiella_caespitosa,Molluginaceae,Suessenguthiella,scleranthoides,Suessenguthiella scleranthoides,C3,,,,non-CAM,0
Pharnaceum_exiguum,Molluginaceae,Pharnaceum,exiguum,Pharnaceum exiguum,C3,761.0539999999999,,,non-CAM,0
Mollugo_nudicaulis,Molluginaceae,Mollugo,nudicaulis,Mollugo nudicaulis,C3,523.1704000000001,141.3336666666667,0.2588407721280603,non-CAM,0
Mollugo_verticillata,Molluginaceae,Mollugo,verticillata,Mollugo verticillata,C3,779.7934499999999,344.14444444444445,0.2514971965559428,non-CAM,0
Glinus_dahomensis,Molluginaceae,Glinus,lotoides,Glinus lotoides,C3,,,,non-CAM,0
Trigastrotheca_stricta_148,Molluginaceae,Trigastrotheca,stricta,Trigastrotheca stricta,C3,,,,non-CAM,0
Trigastrotheca_molluginea_137,Molluginaceae,Trigastrotheca,molluginea,Trigastrotheca molluginea,C3,,,,non-CAM,0
Mollugo_pentaphylla,Molluginaceae,Mollugo,pentaphylla,Mollugo pentaphylla,C3,,,,non-CAM,0
Stegnosperma_halimifolium,Stegnospermataceae,Stegnosperma,halimifolium,Stegnosperma halimifolium,C3,,,,non-CAM,0
Limeum_aethiopicum,Limeaceae,Limeum,aethiopicum,Limeum aethiopicum,C3,552.4506,,,non-CAM,0
Beta_vulgaris_vulgaris_cds,Amaranthaceae,Beta,vulgaris,Beta vulgaris,C3,,,,non-CAM,0
Amaranthus_hypochondriacus_tr,Amaranthaceae,Amaranthus,hypochondriacus,Amaranthus hypochondriacus,C4,,,,non-CAM,0
